,CaseNum,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species,Source,href,Species2,Activity2
1657,2004.07.10,10-Jul-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,"FATAL, abdomen, pelvis & leg bitten      ",Y,"2 sharks, 4.5 m & 3 m ","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.10-BradSmith.pdf,OTHER / NOT KNOWN,Surfing
1658,2004.07.02.b,02-Jul-2004,2004.0,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Hand severed,N,"""black tipped"" shark","E. Ritter, GSAF; iwindsurf.co.uk",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.02.b-MiriamBuser.pdf,OTHER / NOT KNOWN,Snorkeling
1659,2004.07.02.a,02-Jul-2004,2004.0,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,Right foot lacerated,N,4' to 5' shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.02.a-TrentonMartin.pdf,OTHER / NOT KNOWN,Wading
1660,2004.06.26.b,26-Jun-2004,2004.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,"No injury, shark struck his board",N,"9'2"" white shark",R. Collier; GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.06.26.b-French.pdf,White shark,Surfing
1661,2004.06.26.a,26-Jun-2004,2004.0,Invalid,AUSTRALIA,Western Australia,Floreat Beach,Crayfishing,M,"No injury, shark made threat displays & diver fended it off with his speargun",UNKNOWN,Invalid,"T. Peake, GSAF; Sunday Times (Perth)  6/27/2004, p.11",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.06.26.a-Duncan.pdf,INVALID ENTRY,Fishing
1662,2004.06.14,14-Jun-2004,2004.0,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,Foot bitten,N,Invalid,Global Lifeguards,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.06.14-Disney.pdf,INVALID ENTRY,Diving
1663,2004.06.10.b,10-Jun-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,Ankle & foot lacerated,N,"Bronze whaler shark, 2.5 m [8.25'] ","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.06.10.b-O'Brien.pdf,Bronze whaler shark,Other types of Boarding sports
1664,2004.06.10.a,10-Jun-2004,2004.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,Right wrist  & left arm lacerated,N,1.2 m [4'] shark,"T. Jerome, GSAF; Daytona Beach News Journal,, 6/11/2004, p.1C",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.06.10.a-Anderson.pdf,OTHER / NOT KNOWN,Swimming
1665,2004.06.02,02-Jun-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,"FATAL, leg severed ",Y,White shark,"J. Smetherham & B. Ndenze, Cape Times",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.06.02-Mayabai.pdf,White shark,Swimming
1666,2004.05.29,29-May-2004,2004.0,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,Puncture wounds on shin,N,0.9 m to 1.5 m [3' to 5'] shark,J. David,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.29-Eckstrum.pdf,OTHER / NOT KNOWN,Wading
1667,2004.05.23.b,23-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,"Left hand, foot severed &  left calf & arm bitten",N,Bull shark,"P. M. Lopes, GSAF; JC, 5/24/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.23.b-Silva.pdf,Bull shark,Swimming
1668,2004.05.28,28-May-2004,2004.0,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,No injury,N,2.4 m to 3.7 m [8' to 12'] shark,"R. Collier, GSAF; B. Connor, Jr.",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.28-Connor.pdf,OTHER / NOT KNOWN,Surfing
1669,2004.05.23.a,23-May-2004,2004.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,Calf & foot lacerated,N,Invalid,News4Jax,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.23.a - St.Augustine.pdf,INVALID ENTRY,Swimming
1670,2004.05.22.c,22-May-2004,2004.0,Invalid,USA,Florida,St. Augustine  St. Johns County,Swimming,M,Single puncture wound on the foot,UNKNOWN,Shark involvement not confirmed,"T. Jerome, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.22.c-male.pdf,OTHER / NOT KNOWN,Swimming
1671,2004.05.22.b,22-May-2004,2004.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",NOT SPECIFIED,F,Foot bitten,N,Invalid,First Coast News,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.22.b-Grogan.pdf,INVALID ENTRY,INVALID
1672,2004.05.22.a,22-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,Hips & thighs bitten,N,Invalid,"P.M. Lopes, GSAF, JC, 5/23/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.22.a-Bringel.pdf,INVALID ENTRY,Wading
1673,2004.05.18,18-May-2004,2004.0,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,Left forearm bitten PROVOKED INCIDENT,N,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)","W. Leander, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.18-Leander.pdf,Reef shark,Diving
1674,2004.05.04,04-May-2004,2004.0,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,"No injury, board bitten",N,"Mako shark, 1.8 m [6']",G. Gore & M. Sturdevant,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.04-Gore.pdf,Mako Shark,Surfing
1675,2004.05.01,01-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade ,Swimming,M,FATAL,Y,Invalid,"JCOnline, 5/2/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.05.01-Orlando.pdf,INVALID ENTRY,Swimming
1676,2004.04.26,26-Apr-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",Diving,M,Puncture wounds on wrist,N,"Wobbegong shark, 1.2 m [4'] k","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.04.26-Griffin.pdf,Wobbegong shark,Diving
1677,2004.04.22,22-Apr-2004,2004.0,Boat,NEW ZEALAND,North Island,Motunui,Fishing,,"No injury to occupants, boat scratched by shark",N,"White shark, 5.5 m [18']","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.04.22-boatLive'N-Hope.pdf,White shark,Fishing
1678,2004.04.13.b,13-Apr-2004,2004.0,Unprovoked, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,small sharks,"New Zealand Herald, 4/15/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.04.13.b-Tonga.pdf,Other small shark,Fishing
1679,2004.04.13.a,13-Apr-2004,2004.0,Invalid, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,Questionable Incident,"New Zealand Herald, 4/15/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.04.13.a-Tonga.pdf,INVALID ENTRY,Fishing
1680,2004.04.07,07-Apr-2004,2004.0,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,FATAL Severe wound to right thigh & calf,Y,Tiger shark,"L. Fujimoto, B. Perry & M. Tanji, Maui News ",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.04.07-McInnis.pdf,Tiger shark,Surfing
1681,2004.04.05,05-Apr-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,"Left leg lacerated, right leg severed above the knee ",N,5 m [16.5'] white shark,"L. Compagno & E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.04.05-JP-Andrew.pdf,White shark,Surfing
1682,2004.04.04,04-Apr-2004,2004.0,Invalid,USA,Hawaii,Velzyland,Surfing,F,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",UNKNOWN,Shark involvement prior to death was not confirmed,"R. Antone, Honolulu Star Bulletin",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.04.04-CourtneyMarcher.pdf,OTHER / NOT KNOWN,Surfing
1683,2004.03.31.b,31-Mar-2004,2004.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",NOT SPECIFIED,M,Right foot bitten,N,Invalid,"D. Davies, Palm Beach Post, 6/3/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.31.b-Rapp.pdf,INVALID ENTRY,INVALID
1684,2004.03.31.a,31-Mar-2004,2004.0,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,15 puncture wounds on foot,N,1.2 m [4'] bull shark,"T. Jerome, GSAF; Palm Beach Post,  4/1/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.31.a-Dean.pdf,Bull shark,Surfing
1685,2004.03.29,29-Mar-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Body boarding,M,"Lower left leg bitten, surgically amputated",N,bull shark,"P.M. Lopes, GSAF; Diaro, 3/30/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.29-Souza.pdf,Bull shark,Other types of Boarding sports
1686,2004.03.28,28-Mar-2004,2004.0,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,Heel bitten,N,bull shark,"J.D. Gallop, Florida Today",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.28-PelicanBeach.pdf,Bull shark,Surfing
1687,2004.03.27.b,27-Mar-2004,2004.0,Unprovoked,REUNION,Saint-Benoît,Spot de la gare,Surfing,M,Right thigh bitten,N,2.5 m shark,"Clicanoo, le journal  de l'Ile de la Réunion",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.27.b-Lorion.pdf,OTHER / NOT KNOWN,Surfing
1688,2004.03.27.a,27-Mar-2004,2004.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,Minor lacerations & abrasions on forearm,N,Invalid,"T. Jerome, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.27.a-Hoffman.pdf,INVALID ENTRY,Swimming
1689,2004.03.24,14-Mar-2004,2004.0,Unprovoked,USA,Hawaii,Punaluu,Snorkeling,F,Lacerations to left foot,N,1.8 m [6'] shark,Hawaii Department of Land and Natural Resources,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.24-Mooney.pdf,OTHER / NOT KNOWN,Snorkeling
1690,2004.03.22,22-Mar-2004,2004.0,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,Spearfishing,M,No injury,N,Bronze whaler shark,J. Edgar,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.22-Fraser.pdf,Bronze whaler shark,Fishing
1691,2004.03.16,16-Mar-2004,2004.0,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,"No injury, board bitten",N,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",The Hawaii Channel,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.16-Orth.pdf,Tiger shark,Surfing
1692,2004.03.06,06-Mar-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Spearfishing,M,Shin & calf bitten,N,"Bronze whaler shark, 1.5 m [5'] ","T. Peake, GSAF; Sunday Times (Perth) 3/7/2004, p.19",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.03.06-Pickering.pdf,Bronze whaler shark,Fishing
1693,2004.02.29,29-Feb-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,"FATAL, right thigh & hip bitten   ",Y,Invalid,"P. M. Lopez, GSAF; Northern Territory News, 3/2/2004, p.11",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.02.29-dosSantos.pdf,INVALID ENTRY,Swimming
1694,2004.02.26,26-Feb-2004,2004.0,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,Thigh lacerated,N,2 m [6.75'] sevengill  shark,"R.D. Weeks, GSAF; NZ Herald",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.02.26-Blair.pdf,OTHER / NOT KNOWN,Surfing
1695,2004.02.21,21-Feb-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",Swimming,M,Three toes lacerated,N,Invalid,Manning River Times,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.02.21-Taree.pdf,INVALID ENTRY,Swimming
1696,2004.02.16,16-Feb-2004,2004.0,Invalid,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,M,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",UNKNOWN,Shark involvement not confirmed,"news.com.au; Northern Territory News, 2/18/2004, p.10; Sunday Territorian, 2/22/2004, p.9; ",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.02.16-Bryant.pdf,OTHER / NOT KNOWN,Diving
1697,2004.02.14,14-Feb-2004,2004.0,Unprovoked,EGYPT,,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,FATAL,Y,Invalid,divernet.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.02.14-Sinai.pdf,INVALID ENTRY,Snorkeling
1698,2004.02.11,11-Feb-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,Leg bitten,N,"60 cm [23.6""] blind or brown shark","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.02.11-Tresoglavic.pdf,OTHER / NOT KNOWN,Snorkeling
1699,2004.01.25,25-Jan-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Binningup,Scuba diving,M,Left leg bitten,N,4 m to 5 m [13' to 16.5'] white shark,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.25-Oppert.pdf,White shark,Diving
1700,2004.01.23,23-Jan-2004,2004.0,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,Puncture wounds to dorsum of right foot,N,Possibily a  1.5 to 2 m sandtiger shark,C.M. Prigioni el al,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.23-Uruguay.pdf,Tiger shark,Surfing
1701,2004.01.22,22-Jan-2004,2004.0,Invalid,NEW ZEALAND,Northlands,90 Mile Beach,Boogie boarding,M,"No injury, swim fin damaged",UNKNOWN,Shark involvement doubtful,The Northlands,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.22.R-90MileBeach.pdf,INVALID ENTRY,Other types of Boarding sports
1702,2004.01.21.b,21-Jan-2004,2004.0,Unprovoked,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,Lower back & hand bitten,N,"Bull shark, 1.65 m [5'5""] was speared & killed","D. Ramierez, GSAF       ",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.21.b-Moeller.pdf,Bull shark,Swimming
1703,2004.01.21.a,21-Jan-2004,2004.0,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,Right leg bitten,N,"Bull shark, 132-kg [291-lb] ","D. Ramierez, GSAF       ",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.21.a-Gonzalez.pdf,Bull shark,Fishing
1704,2004.01.15.R,Reported 15-Jan-2004 ,2004.0,Boat,SOUTH AFRICA,KwaZulu-Natal,Ballito,Surf skiing,M,"No injury to occupants, stern of ski bitten",N,"Mako shark, 3 m to 4 m [10' to 13'] ",surfski.co.nz,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.15.R-Ballito.pdf,Mako Shark,Skiing
1705,2004.01.12,12-Jan-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,Diving,M,"No injury, swim fin ripped off",N,"Raggedtooth shark, 3.5 m [11.5'] ","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.12-Flynn.pdf,Raggedtooth shark,Diving
1706,2004.01.07,07-Jan-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,Foot lacerated,N,Raggedtooth shark,"A. Cobb & E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.07-Horsfield.pdf,Raggedtooth shark,Surfing
1707,2004.01.03.b,03-Jan-2004,2004.0,Invalid,NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",Kayaking (returning from spearfishing),M,"No injury, no attack, shark took fish from back of kayak",UNKNOWN,Invalid,"R.D. Weeks, GSAF; Waikto Times, 1/4/2004 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.03.b-WaikatoMale.pdf,INVALID ENTRY,Fishing
1708,2004.01.03.a,03-Jan-2004,2004.0,Sea Disaster,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,"No survivors, sharks scavenged on remains",Y,Invalid,"Scotsman, 1/4/2004",http://sharkattackfile.net/spreadsheets/pdf_directory/2004.01.03.a-RedSeaAirDisaster.pdf,INVALID ENTRY,Sea Disaster
1709,2004.00.00,2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Redgate Beach,Surfing,M,No inury,N,Invalid,J. Carlsen,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.00.00-Carlsen.pdf,INVALID ENTRY,Surfing
1710,2003.12.31,31-Dec-2003,2003.0,Boat,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,NOT SPECIFIED,,No injury to occupants,N,Shortfin mako shark,Natal Sharks Board,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.12.31-SaltRock.pdf,Mako Shark,INVALID
1711,2003.12.26,26-Dec-2003,2003.0,Invalid,USA,Florida,"Miami, Dade County",Swimming,M,Knee lacerated,UNKNOWN,Questionable Incident,"The Times (London), 12/27/2003, p.4",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.12.26-Hansell.pdf,INVALID ENTRY,Swimming
1712,2003.12.13.b,13-Dec-2003,2003.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,Foot bitten,N,Invalid,"Florida Today (Melbourne), 12/14/2003",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.12.13.b-boy.pdf,INVALID ENTRY,Swimming
1713,2003.12.13.a,13-Dec-2003,2003.0,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,FATAL,Y,Invalid,R. Weeks; Cook Islands Government News Release,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.12.13.a-Vaotiare.pdf,INVALID ENTRY,Swimming
1714,2003.12.08,08-Dec-2003,2003.0,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,Invalid,"J. Eager, scubaradio.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.12.08-Myer.pdf,INVALID ENTRY,Surfing
1715,2003.11.30.b,30-Nov-2003,2003.0,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,"After biting Halverson, it bit Scott's thigh",N,"Wobbegong shark, 1.2 m [4'] ","J. Eager, scubaradio.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.30.b-Scott.pdf,Wobbegong shark,Swimming
1716,2003.11.30.a,30-Nov-2003,2003.0,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,Hand & foot bitten,N,"Wobbegong shark, 1.2 m [4'] ","J. Eager, scubaradio.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.30.a-Halverson.pdf,Wobbegong shark,Swimming
1717,2003.11.27,27-Nov-2003,2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,"Presumed FATAL, severed hand recovered",Y,"Tiger shark, 4 m [13']  ?","E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.27-Jee.pdf,Tiger shark,Fishing
1718,2003.11.22,22-Nov-2003,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,Severe abrasion to left lateral calf,N,4' shark,T. Trumbauer,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.22-Trumbauer.pdf,OTHER / NOT KNOWN,Surfing
1719,2003.11.12.b,12-Nov-2003 ,2003.0,Unprovoked,INDIA,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,Left index finger lacerated,N,Tiger shark?," P.C.V. Kumar; A. Patil, GSAF   ",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.12-Moquin.pdf,Tiger shark,Surfing
1720,2003.11.12.a,12-Nov-2003,2003.0,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,Lacerations to hand,N,Invalid,"S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.12.a-NV-Crawford.pdf,INVALID ENTRY,Surfing
1721,2003.11.06.b,06-Nov-2003,2003.0,Unprovoked,EGYPT,Sinai Peninsula,"Sha’ab Mahmud, Ras Mohamed Park",Snorkeling,M,Hand/elbow injured,N,2.5 oceanic whitetip shark,N. Pankratov,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.06.b-Fedorov.pdf,Whitetip shark,Snorkeling
1722,2003.11.06.a,06-Nov-2003,2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,Surf skiing,,"No injury to occupants, hull of ski bitten",N,White shark,Natal Sharks Board,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.06.a-Karridene.pdf,White shark,Skiing
1723,2003.11.01,01-Nov-2003,2003.0,Unprovoked,AUSTRALIA,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,Minor lacerations to leg & foot,N,Invalid,"The Sun; 11/2/2003, p.9",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.01-SealRocks.pdf,INVALID ENTRY,Standing
1724,2003.11.00,Nov-2003,2003.0,Provoked,PANAMA,Pearl Islands,,Spearfishing,M,Left forearm bitten PROVOKED INCIDENT,N,"Nurse shark, 60 cm to 90 cm [2' to 3'] ","J. Eager, scubaradio.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.00-RichardHatch.pdf,Nurse shark,Fishing
1725,2003.10.31.c,31-Oct-2003,2003.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,Left foot (sole) bitten,N,1.2 m to 1.5 m [4' to 5'] shark,"D. Dixon, Florida Times-Union, 11/8/2003 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.31.c-Gray.pdf,OTHER / NOT KNOWN,Surfing
1726,2003.10.31.b,31-Oct-2003,2003.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,Left ankle & foot lacerated,N,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",ABC News Australia,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.31.b-Anthony.pdf,OTHER / NOT KNOWN,Surfing
1727,2003.10.31.a,31-Oct-2003,2003.0,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,Left arm severed below shoulder,N,"Tiger shark, 14' "," E. Ritter, GSAF  ",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.31.a-BethanyHamilton.pdf,Tiger shark,Surfing
1728,2003.10.27,27-Oct-2003,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Laceration on right ankle & heel,N,Invalid,"S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.27-Hauser.pdf,INVALID ENTRY,Surfing
1729,2003.10.24,24-Oct-2003,2003.0,Invalid,USA,Hawaii,Honolua Bay,Snorkeling,M,Left forearm lacerated,UNKNOWN,Shark involvement not confirmed,"Timothy Hurley, Advertiser Maui County Bureau",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.24-DonKeener.pdf,OTHER / NOT KNOWN,Snorkeling
1730,2003.10.14,14-Oct-2003,2003.0,Unprovoked,USA,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,Foot bitten,N,1.2 m [4'] shark,WFTV.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.14-male.pdf,OTHER / NOT KNOWN,Surfing
1731,2003.10.06,06-Oct-2003,2003.0,Invalid,USA,Florida,Palm Beach?,Swimming to shore from boat or kayak,M,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y,Shark involvement prior to death was not confirmed,"E. Pace, FSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.06-NV-PalmBeach.pdf,OTHER / NOT KNOWN,Swimming
1732,2003.10.05.e,05-Oct-2003,2003.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,Minor puncture wounds in hand,N,Invalid,"J. Eager, scubaradio.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.e-female.pdf,INVALID ENTRY,Surfing
1733,2003.10.05.d,05-Oct-2003,2003.0,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",Surfing,M,5 to 6 lacerations on right foot & ankle,N,Invalid,"Vero Beach Press Journal (FL) 10/6/2003;  Stuart News, 10/6/2003",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.d-surfer.pdf,INVALID ENTRY,Surfing
1734,2003.10.05.c,05-Oct-2003,2003.0,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,Invalid,"S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.c-Eckstein.pdf,INVALID ENTRY,Surfing
1735,2003.10.05.b,05-Oct-2003,2003.0,Unprovoked,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,Left foot bitten,N,Invalid,"S. Petersohn, GSAF; J. Eager, scubaradio.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.b-DeMartino.pdf,INVALID ENTRY,Surfing
1736,2003.10.05.a,05-Oct-2003,2003.0,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,"Left thigh abraded, right knee and right index finger injured",N,"1.2 m [4'] ""grey-colored shark""","G. Kubota, Star Bulletin",http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.a-Clara-Alo.pdf,OTHER / NOT KNOWN,Fishing
